id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
49616842,Quaint & cozy*Newly Remodeled*Covered Deck*Pets ok,171496186,Katie,Other neighborhoods,Greenwood,47.70018,-122.35548,Entire home/apt,176,2,12,2021-07-11,6.00,1,101
49632386,"The Best location, in the middle of everything!",249951377,Anna,Capitol Hill,Broadway,47.62061,-122.32027,Entire home/apt,136,1,6,2021-06-30,2.81,3,32
49633326,ALKI Room • 1m walk to Junction • 9m drive to Alki,18020488,Angie & Tyler,West Seattle,Fairmount Park,47.55714,-122.38491,Private room,88,2,5,2021-07-11,5,4,72
49634821,St. John's Apt. 311 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61294,-122.32217,Entire home/apt,129,30,0,,,5,137
49636898,Cozy & Private Bedroom / Bath in West Seattle,53978309,Beth,Delridge,North Delridge,47.56493,-122.36897,Private room,78,1,9,2021-06-25,4.29,1,184
49640588,"Be a local in Seattle, Lake Washington area",126626529,Alfredo,Central Area,Atlantic,47.59152,-122.29898,Entire home/apt,250,3,2,2021-07-05,2,1,86
49641508,Cozy private one girl bedroom for summer visitor,35065561,Helen,University District,University District,47.66849,-122.31303,Private room,40,3,1,2021-07-11,1,2,175
49643243,Serene View in Wallingford 5 min downtown,3074414,Melissa,Other neighborhoods,Fremont,47.65662,-122.34685,Entire home/apt,135,3,3,2021-06-28,2.50,104,85
49646237,Modern home | 1 BR in Seattle,368944610,Carolyn,University District,University District,47.66196,-122.31911,Entire home/apt,177,60,0,,,26,365
49654068,Cozy & Calm Apartment,22986456,Gabriela,West Seattle,Fairmount Park,47.5556,-122.38209,Entire home/apt,130,2,4,2021-07-11,4,1,34
49654356,Humble One Bedroom with Parking in Capitol Hill  -,198922750,Joseph,Capitol Hill,Stevens,47.61974,-122.30873,Entire home/apt,159,1,11,2021-07-06,11,2,311
49655943,Seventeenth Ave Capitol Hill-1BR with Parking,82555495,Brian,Capitol Hill,Stevens,47.61916,-122.30986,Entire home/apt,155,1,20,2021-07-12,8.96,2,313
49656993,Seattle UPLACE University District TopFloor Studio,67090351,Chilli,Other neighborhoods,Ravenna,47.6616,-122.29394,Entire home/apt,110,30,0,,,22,53
49657543,Seattle UPLACE University District TopFloor Studio,67090351,Chilli,Other neighborhoods,Ravenna,47.66389,-122.29434,Entire home/apt,128,30,0,,,22,80
49669221,*Hot Tub* Oasis in the heart of Seattle,182268086,Juliana,Other neighborhoods,Fremont,47.66312,-122.35065,Entire home/apt,450,2,3,2021-05-28,2.25,3,267
49670559,Spacious Sunny Midcentury Home Base,6239614,Lindsay,Other neighborhoods,Bitter Lake,47.7115,-122.35357,Entire home/apt,130,2,1,2021-06-23,1,1,13
49672966,"Stylish Modern Condo, Steps from Alki Beach Trail!",44299760,Gebran,West Seattle,North Admiral,47.57276,-122.37217,Entire home/apt,125,2,2,2021-06-11,1.46,1,55
49679750,Great Lake & Seattle Skyline View Wallingford 305,3074414,Melissa,Other neighborhoods,Fremont,47.65656,-122.34549,Entire home/apt,135,3,1,2021-06-09,0.83,104,152
49690808,The Water Front Twin Room 5min drive from Downtown,26967583,Maria,Central Area,Mann,47.60368,-122.30039,Private room,48,1,1,2021-06-11,0.88,51,39
49695486,"Entire 2BR private unit w/ kitchen, A/C, fast WiFi",278405609,Nikk,Beacon Hill,Mid-Beacon Hill,47.5498,-122.28845,Entire home/apt,115,1,9,2021-06-30,9,3,316
49695637,"N Seattle home -2 BDRM big kitchen,laundry,parking",7435040,Chengying,Northgate,Pinehurst,47.71716,-122.32286,Entire home/apt,96,1,7,2021-06-19,7,10,319
49710829,PIKE Room • 1m walk to Junction • 9m drive to Alki,18020488,Angie & Tyler,West Seattle,Fairmount Park,47.55712,-122.38631,Private room,92,2,7,2021-07-08,7,4,64
49710948,RAINIER Room •1m walk to Junction/9m drive to Alki,18020488,Angie & Tyler,West Seattle,Fairmount Park,47.55856,-122.38482,Private room,91,2,3,2021-07-04,2.81,4,62
49712473,Luxurious studio in Amazonland,357567003,Tugba,Downtown,Belltown,47.61727,-122.34464,Entire home/apt,124,30,0,,,3,245
49716510,Lincoln Park Private Residence,101285257,Jenny,West Seattle,Gatewood,47.53818,-122.39537,Entire home/apt,79,30,1,2021-07-03,1,2,272
49716625,The Baker Escape: Brand New 2BR / 1.5BA,5403550,Jamie,Other neighborhoods,Fremont,47.66106,-122.35827,Entire home/apt,203,2,2,2021-07-05,2,1,114
49717995,Seventeenth Ave Capitol Hill-1BR with Parking-2,82555495,Brian,Capitol Hill,Stevens,47.61782,-122.31164,Entire home/apt,143,1,12,2021-07-10,10.59,2,317
49722195,Center UW Simple Spacious & Comfy 107,3074414,Melissa,University District,University District,47.66105,-122.31311,Entire home/apt,85,30,1,2021-05-31,0.67,104,25
49730127,"Luxury Home w/ Huge Roof Deck, Elliott Bay Views, 2 Fireplaces - Steps to Beach!",111812937,Vacasa Washington,West Seattle,North Admiral,47.58609,-122.37754,Entire home/apt,792,2,0,,,13,361
49732369,Unique Craftsman in the middle of Cap Hill,28452678,Belle & G,Central Area,Minor,47.61778,-122.30476,Entire home/apt,458,2,6,2021-06-27,3.10,2,67
49733369,*Sunny Room* Guest House - 10min drive PIKE MARKET,182268086,Juliana,Other neighborhoods,Fremont,47.66296,-122.35279,Entire home/apt,200,2,3,2021-06-30,1.96,3,86
49737655,Landing | Modern Apartment with Amazing Amenities (ID178649),263502162,Landing,Capitol Hill,Broadway,47.61447,-122.31798,Entire home/apt,154,30,0,,,24,311
49738724,South Side Bungalow,136214203,Andre,Rainier Valley,Rainier Beach,47.51554,-122.2637,Entire home/apt,225,2,4,2021-07-12,3.64,1,80
49740470,Light-filled Modern Farmhouse near Cap Hill w/Yard,28420265,Sherry,Central Area,Minor,47.61117,-122.30691,Entire home/apt,391,2,8,2021-07-11,4.44,25,81
49758758,Seattle UPLACE University District 2BEDs Studio,67090351,Chilli,Other neighborhoods,Ravenna,47.66211,-122.29588,Entire home/apt,105,30,0,,,22,163
49760502,Private Custom Built Guest House at the Tiny Farm,33995288,Lilah & Nick,Rainier Valley,Dunlap,47.53153,-122.26628,Entire home/apt,140,5,3,2021-06-27,2.65,1,9
49767111,Great Apartment home | Studio in Seattle,368944610,Carolyn,University District,University District,47.66066,-122.32047,Entire home/apt,166,31,0,,,26,365
49770432,"NEW! Chic Townhome, 2 Miles to Pike Place Market!",121688409,Evolve Vacation Rental,Beacon Hill,North Beacon Hill,47.58842,-122.30765,Entire home/apt,274,3,1,2021-06-30,1,11,343
49781245,Seattle UPLACE University District 2BEDs Studio,67090351,Chilli,Other neighborhoods,Ravenna,47.66377,-122.29389,Entire home/apt,104,30,1,2021-07-05,1,22,158
49795514,Live + Work + Stay + Easy | 1BR in Seattle,359069961,Kia,Downtown,Belltown,47.61633,-122.33938,Entire home/apt,211,90,0,,,59,365
49796935,3 Min walk to UW and bus lines Large & Clean (42),3074414,Melissa,University District,University District,47.65902,-122.31597,Entire home/apt,94,30,0,,,104,74
49799303,Yellow Burgundy Room Historic Panama Hotel Seattle,1608733,Bean,Downtown,International District,47.6004,-122.32494,Private room,81,1,8,2021-06-29,4.53,15,327
49799778,Writer's Room  Historic Panama Hostel Seattle,1608733,Bean,Downtown,International District,47.59929,-122.32485,Private room,126,1,2,2021-06-28,2,15,349
49800201,Oriental Fan Room Historic Panama Hotel Seattle,1608733,Bean,Downtown,International District,47.60021,-122.32482,Private room,83,1,4,2021-06-27,3.24,15,335
49800206,Bamboo Room Historic Panama Hotel Seattle,1608733,Bean,Downtown,International District,47.5994,-122.32702,Private room,83,1,2,2021-05-30,1.40,15,333
49800930,Box Art Room Historic Panama Hotel Seattle,1608733,Bean,Downtown,International District,47.601,-122.32509,Private room,84,1,6,2021-06-23,3.21,15,330
49801814,Cozy quiet studio with deck Ravenna Bryant UW 04-2,3074414,Melissa,Other neighborhoods,Ravenna,47.67529,-122.29066,Entire home/apt,72,30,1,2021-07-03,1,104,293
49815079,WestSeattle Junction1br | FastWifi | Gym | Sophari,314324381,Sophari,West Seattle,Genesee,47.56166,-122.38405,Entire home/apt,256,4,0,,,4,170
49818866,"Small harry potter closet; fast wifi, in downtown!",278405609,Nikk,Beacon Hill,North Beacon Hill,47.58834,-122.31354,Private room,38,1,5,2021-06-25,3.49,3,345
49832497,Clean Modern Look Condo Next to Convention Center,236654939,Kenny & James,Downtown,First Hill,47.61282,-122.33044,Entire home/apt,153,1,3,2021-07-12,3,1,1
49838282,Merry Manor - Capitol Hill Home With A View,157567756,Tony,Central Area,Minor,47.61163,-122.30916,Entire home/apt,200,30,0,,,1,56
49841461,Boho Inspired Stay At Pike Place,163477356,Mikayla,Downtown,Pike-Market,47.60916,-122.34176,Entire home/apt,157,2,14,2021-07-13,7.78,2,170
49841544,Entire apartment; ideal location in Capitol Hill,80566122,Katie,Capitol Hill,Broadway,47.61714,-122.31606,Entire home/apt,141,1,6,2021-06-28,6,1,227
49841975,Beautiful Queen Anne home with Space Needle views,28420265,Sherry,Queen Anne,East Queen Anne,47.62921,-122.34693,Entire home/apt,361,2,0,,,25,118
49844695,West View Apartment on Queen Ann Hill - 2 bedroom,401989179,Yang,Queen Anne,North Queen Anne,47.65152,-122.37536,Entire home/apt,198,2,11,2021-07-13,7.33,2,17
49861972,"Private 2Bd rms Seattle. Easy Commute by Bus,Train",70281924,Quang,Rainier Valley,Dunlap,47.52972,-122.27095,Entire home/apt,140,1,10,2021-07-11,5.56,1,3
49874859,Private Room in Historic Inn. Parking Available,402210661,Foxglove,Capitol Hill,Broadway,47.61898,-122.31747,Private room,119,2,12,2021-07-11,8.57,8,87
49882631,"""Happy Home"" Private Room D (LG Floor) in Seattle",366743289,Nova,Beacon Hill,South Beacon Hill,47.53105,-122.2909,Private room,45,7,1,2021-06-30,1,5,52
49883276,Entire Jr 1 Bedroom Apartment - walkable & clean!,6171087,Becca,Central Area,Minor,47.60511,-122.30584,Entire home/apt,161,25,3,2021-07-04,2.50,2,40
49886271,Prime location Studio 1 Queen Bed,94403842,Tommy,Other neighborhoods,Ravenna,47.66365,-122.29588,Entire home/apt,91,30,0,,,2,320
49887057,Prime location Studio with 2 Queen bed,94403842,Tommy,Other neighborhoods,Ravenna,47.6638,-122.29568,Entire home/apt,105,30,1,2021-07-01,1,2,348
49889261,Landing | Modern Apartment with Amazing Amenities (ID403591),263502162,Landing,Downtown,First Hill,47.60955,-122.32551,Entire home/apt,172,30,0,,,24,330
49889828,Top Floor 2 bdr in Bryant 5 min to UW/Green Lake 8,3074414,Melissa,Other neighborhoods,Bryant,47.6749,-122.28906,Entire home/apt,129,30,0,,,104,158
49890018,Landing | Modern Apartment with Amazing Amenities (ID468488),263502162,Landing,Downtown,First Hill,47.61129,-122.32492,Entire home/apt,134,30,0,,,24,329
49890697,Bright Modern Two-Bedroom Apartment U-district,402330479,Taliya,University District,University District,47.66347,-122.31867,Entire home/apt,100,30,0,,,4,274
49894965,"Trendy Capitol Hill 1BR w/ W/D, Rooftop, Lounge, near park, by Blueground",107434423,Blueground,Capitol Hill,Broadway,47.619324,-122.320587,Entire home/apt,136,30,0,,,128,290
49895027,"Chic Capitol Hill 1BR w/ W/D, Rooftop, Lounge, near park, by Blueground",107434423,Blueground,Capitol Hill,Broadway,47.61932,-122.32059,Entire home/apt,125,30,0,,,128,334
49904972,One Bedroom Condo- Unobstructed View of Lake Union,6198284,Elizabeth,Queen Anne,East Queen Anne,47.63803,-122.34281,Entire home/apt,125,30,0,,,1,295
49907715,"Modern 1-bedroom in North Beacon Hill, Seattle",163261952,Viet,Beacon Hill,North Beacon Hill,47.58824,-122.30728,Private room,69,1,14,2021-07-09,14,2,2
49909867,"New! Enjoy Everything Seattle! Pike Place Market, Space Needle, Aquarium, Downtown & Waterfront",377129678,Karen,Downtown,Belltown,47.61521,-122.34874,Entire home/apt,262,2,1,2021-06-09,0.83,7,344
49911073,Landing | Modern Apartment with Amazing Amenities (ID339525),263502162,Landing,Queen Anne,Lower Queen Anne,47.62089,-122.35863,Entire home/apt,138,30,0,,,24,337
49911235,Landing | Modern Apartment with Amazing Amenities (ID386736),263502162,Landing,Rainier Valley,Columbia City,47.56167,-122.29388,Entire home/apt,138,30,0,,,24,337
49919054,"Corner of Everything: Cafes, Bus, Shops & Shore",254544583,Marie,Central Area,Mann,47.61406,-122.29766,Private room,75,5,1,2021-06-06,0.77,4,59
49924088,Fabulous Private Studio by UW,309771614,Nespace,University District,University District,47.66378,-122.30465,Entire home/apt,53,30,0,,,37,88
49924484,"Homey Studio, 3min Walk to Bus Station",309771614,Nespace,University District,University District,47.66349,-122.3049,Entire home/apt,53,30,0,,,37,90
49924694,"Hotel Quality Stay in the Heart of UW, w/ W&D",309771614,Nespace,University District,University District,47.6625,-122.3059,Entire home/apt,76,30,0,,,37,2
49926236,The Cozy Studio You Gonna Love,309771614,Nespace,University District,University District,47.66468,-122.30596,Entire home/apt,67,30,0,,,37,61
49926704,Charming Room in Renovated BNB. Parking Available,402210661,Foxglove,Capitol Hill,Broadway,47.61883,-122.31937,Private room,99,2,10,2021-07-12,6.98,8,73
49929054,City Cottage in Vibrant Cap Hill. Parking Avail.,402210661,Foxglove,Capitol Hill,Broadway,47.62053,-122.31807,Private room,122,2,12,2021-07-07,7.66,8,54
49929178,Queen Anne Family Home,6802017,Kimberly,Queen Anne,North Queen Anne,47.64119,-122.36691,Entire home/apt,392,4,0,,,1,16
49930017,"Perfect studio, Close to Everything in UW",309771614,Nespace,University District,University District,47.66343,-122.30513,Entire home/apt,60,30,0,,,37,36
49932835,Newly Renovated Fremont Suite w/Private Courtyard,128637413,Wendy,Other neighborhoods,Fremont,47.65515,-122.35941,Entire home/apt,237,1,3,2021-07-10,3,1,5
49944568,Amazing VIEW luxury home with sports court!,24602663,Jennifer,Other neighborhoods,Broadview,47.72738,-122.36766,Entire home/apt,349,30,0,,,1,120
49946919,"AC Cottage WiFi Park onsite, 2 bed 2 bath sleeps 6",249951377,Anna,Capitol Hill,Broadway,47.62301,-122.32489,Entire home/apt,259,1,3,2021-06-27,2.00,3,49
49947145,Location in the Heart of Seattle on Capital Hill.,174595902,Shireen,Capitol Hill,Broadway,47.62753,-122.3201,Private room,85,32,0,,,3,345
49949336,Charming Studio in Prime Location,309771614,Nespace,University District,University District,47.66316,-122.30458,Entire home/apt,60,30,0,,,37,112
49951946,Condo at Rainier beach,402807354,Yusuf,Rainier Valley,Dunlap,47.52537,-122.27665,Entire home/apt,80,1,1,2021-06-07,0.77,1,316
49953114,Seattle UPLACE University District TopFloor Studio,67090351,Chilli,Other neighborhoods,Ravenna,47.66185,-122.29538,Entire home/apt,105,30,0,,,22,142
49958960,Newly Renovated Gorgeous Home Just Listed!,74368477,Thomas,Queen Anne,West Queen Anne,47.63652,-122.37408,Entire home/apt,450,2,0,,,1,105
49964972,Apartment living at its finest | 1BR in Seattle,359069961,Kia,Capitol Hill,Stevens,47.61897,-122.304,Entire home/apt,153,30,0,,,59,365
49965309,"Newly Listed! Modern & Spacious, Private Entrance",33360,Laura,Other neighborhoods,Georgetown,47.54199,-122.31858,Entire home/apt,195,3,1,2021-07-05,1,9,57
49965423,Hip & well located 1 bed apartment in Capitol Hill,3677488,Camila,Capitol Hill,Broadway,47.62403,-122.31976,Entire home/apt,115,2,7,2021-07-09,4.77,5,15
49968402,Comfy Private Rm by U-District & Seattle Downtown,209142715,Ellen,Other neighborhoods,Wallingford,47.66455,-122.32489,Private room,53,1,4,2021-07-05,2.67,4,143
49985205,Your Own 3 Bedroom Home in Fremont,3752499,Donna,Other neighborhoods,Fremont,47.64988,-122.34728,Entire home/apt,170,3,0,,,2,277
49985926,The Traveler Room 5 mins drive to downtown,26967583,Maria,Central Area,Mann,47.60223,-122.3003,Private room,52,1,1,2021-06-04,0.73,51,26
49987046,Lake View House 3BR 2BA - Lower Unit,299224265,Ming,Rainier Valley,Rainier Beach,47.51398,-122.25275,Entire home/apt,280,1,6,2021-07-14,4.86,6,20
49989359,"Incredible food, beer, and cake just a short walk!",509986,Tamara,Other neighborhoods,Georgetown,47.54482,-122.32295,Entire home/apt,150,30,0,,,1,91
49989410,Light-filled Farmhouse near DT & Airport - 6 beds!,28420265,Sherry,Beacon Hill,Mid-Beacon Hill,47.55178,-122.30114,Entire home/apt,329,2,3,2021-07-01,3,25,87
49990673,Walker’s Paradise In Fremont (with AC'ed bedrooms),138784466,Yooeun,Other neighborhoods,Fremont,47.65279,-122.34838,Entire home/apt,188,1,3,2021-07-05,3,1,150
